Ticket ID,Issue Type,First Start Date,Start Status,First Done Date,Done Status,Time to Completion (Days),Current Status,Completion Status,,,
CAS-1871,Task,12/11/2025,In Progress,12/15/2025,Done,4,Done,Completed,,,
CAS-1824,Task,12/2/2025,In Progress,12/9/2025,Ready to Deploy,7,Done,Completed,,,"4,7,20,7,8,32,3,1,21,8,73,1,7,12,1,24,26,13,16,3,48,26,74,2,20,4,0,13,24,6,5,22,180,11,32,15,34,55,29,32,1,28,54,76,25,46,48,49,46,21,29,47,37,40,2,84,56,9,8,37,94,38,28,29,28,30,67,41,50,34,44,36,1,25,22,22,55,0,15"
CAS-1780,Task,,,11/24/2025,Ready to Deploy,,Done,Done - No Start Record,,,
CAS-1774,Task,11/19/2025,In Progress,12/9/2025,Ready to Deploy,20,Done,Completed,,,
CAS-1757,Task,12/2/2025,In Progress,12/9/2025,Ready to Deploy,7,Done,Completed,,,
CAS-1744,Task,,,11/10/2025,Ready to Deploy,,Done,Done - No Start Record,,,
CAS-1734,Task,11/10/2025,In Progress,11/18/2025,Ready to Deploy,8,Done,Completed,,,
CAS-1571,Task,10/17/2025,In Progress,11/18/2025,Ready to Deploy,32,Done,Completed,,,
CAS-1508,Task,10/3/2025,In Progress,10/6/2025,Ready to Deploy,3,Done,Completed,,,
CAS-1458,Task,9/11/2025,In Progress,9/12/2025,Ready to Deploy,1,Done,Completed,,,
CAS-1453,Task,9/23/2025,In Progress,10/14/2025,Ready to Deploy,21,Done,Completed,,,
CAS-1439,Task,9/10/2025,In Progress,9/18/2025,Ready to Deploy,8,Done,Completed,,,
CAS-1428,Task,9/5/2025,In Progress,11/17/2025,Done,73,Done,Completed,,,
CAS-1410,Task,9/1/2025,In Progress,9/2/2025,Ready to Deploy,1,Done,Completed,,,
CAS-1404,Task,8/29/2025,In Progress,9/5/2025,Done,7,Done,Completed,,,
CAS-1363,Task,8/14/2025,In Progress,8/26/2025,Ready to Deploy,12,Done,Completed,,,
CAS-1360,Task,,,8/15/2025,Done,,Done,Done - No Start Record,,,
CAS-1346,Task,8/20/2025,In Progress,8/21/2025,On Production,1,Done,Completed,,,
CAS-1344,Task,,,8/26/2025,Ready to Deploy,,Done,Done - No Start Record,,,
CAS-1336,Story,8/8/2025,In Progress,9/1/2025,Ready to Deploy,24,Done,Completed,,,
CAS-1333,Task,8/7/2025,In Progress,9/2/2025,Ready to Deploy,26,Done,Completed,,,
CAS-1323,Task,8/6/2025,In Progress,8/19/2025,Done,13,Done,Completed,,,
CAS-1289,Task,10/13/2025,In Progress,10/29/2025,On Production,16,Done,Completed,,,
CAS-1287,Task,,,12/3/2025,On Production,,Done,Done - No Start Record,,,
CAS-1282,Task,8/1/2025,In Progress,8/4/2025,Ready to Deploy,3,Done,Completed,,,
CAS-1270,Task,8/5/2025,In Progress,9/22/2025,Ready to Deploy,48,Done,Completed,,,
CAS-1249,Task,8/6/2025,In Progress,9/1/2025,Ready to Deploy,26,Done,Completed,,,
CAS-1200,Task,8/4/2025,In Progress,10/17/2025,Ready to Deploy,74,Done,Completed,,,
CAS-1197,Bug,7/17/2025,In Progress,7/18/2025,Ready to Deploy,2,Done,Completed,,,
CAS-1190,Task,7/16/2025,In Progress,8/5/2025,Done,20,Done,Completed,,,
CAS-1010,Story,6/10/2025,In Progress,10/13/2025,Discarded,125,Discarded,Completed,,,
CAS-967,Story,5/29/2025,In Progress,6/2/2025,Ready to Deploy,4,Done,Completed,,,
CAS-965,Story,,,6/2/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-963,Story,5/30/2025,In Progress,5/30/2025,Ready to Deploy,0,Done,Completed,,,
CAS-920,Task,5/20/2025,In Progress,6/2/2025,Ready to Deploy,13,Done,Completed,,,
CAS-917,Task,5/19/2025,In Progress,6/12/2025,Done,24,Done,Completed,,,
CAS-894,Task,5/16/2025,In Progress,5/22/2025,Ready to Deploy,6,Done,Completed,,,
CAS-843,Story,4/30/2025,In Progress,5/5/2025,Ready to Deploy,5,Done,Completed,,,
CAS-836,Task,5/5/2025,In Progress,5/27/2025,Ready to Deploy,22,Done,Completed,,,
CAS-705,Story,4/18/2025,In Progress,10/15/2025,Done,180,Done,Completed,,,
CAS-703,Task,4/11/2025,In Progress,4/22/2025,Ready to Deploy,11,Done,Completed,,,
CAS-643,Task,4/3/2025,In Progress,5/5/2025,Ready to Deploy,32,Done,Completed,,,
CAS-617,Task,3/24/2025,In Progress,4/8/2025,READY TO DEPLOY,15,Done,Completed,,,
CAS-607,Story,4/1/2025,In Progress,5/5/2025,Ready to Deploy,34,Done,Completed,,,
CAS-593,Task,,,5/16/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-579,Story,4/1/2025,In Progress,5/26/2025,Done,55,Done,Completed,,,
CAS-531,Task,2/24/2025,DEV In Progress,3/25/2025,Done,29,Done,Completed,,,
CAS-526,Story,2/20/2025,DEV In Progress,3/24/2025,READY TO DEPLOY,32,Done,Completed,,,
CAS-514,Bug,2/13/2025,DEV In Progress,2/14/2025,Done,1,Done,Completed,,,
CAS-366,Story,,,11/7/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-365,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-364,Story,5/7/2025,In Progress,6/4/2025,Ready to Deploy,28,Done,Completed,,,
CAS-363,Story,5/14/2025,In Progress,7/7/2025,Ready to Deploy,54,Done,Completed,,,
CAS-362,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-361,Story,,,10/10/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-360,Story,,,9/5/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-359,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-358,Story,7/30/2025,In Progress,10/14/2025,Ready to Deploy,76,Done,Completed,,,
CAS-357,Story,,,9/11/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-354,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-353,Story,5/2/2025,In Progress,5/27/2025,Ready to Deploy,25,Done,Completed,,,
CAS-341,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-340,Story,,,11/4/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-339,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-337,Story,2/6/2025,DEV In Progress,3/24/2025,READY TO DEPLOY,46,Done,Completed,,,
CAS-336,Story,,,11/4/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-335,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-334,Story,,,11/5/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-333,Story,4/3/2025,In Progress,5/21/2025,Ready to Deploy,48,Done,Completed,,,
CAS-332,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-331,Story,5/20/2025,In Progress,7/8/2025,Ready to Deploy,49,Done,Completed,,,
CAS-330,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-329,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-327,Story,,,2/16/2026,Discarded,,Discarded,Done - No Start Record,,,
CAS-326,Story,2/6/2025,DEV In Progress,3/24/2025,READY TO DEPLOY,46,Done,Completed,,,
CAS-300,Story,1/21/2025,DEV In Progress,2/11/2025,Done,21,Done,Completed,,,
CAS-276,Story,1/14/2025,Ready for Dev,2/12/2025,Done,29,Done,Completed,,,
CAS-254,Story,1/3/2025,Ready for Dev,2/19/2025,Done,47,Done,Completed,,,
CAS-240,Story,,,8/13/2025,Discarded,,Discarded,Done - No Start Record,,,
CAS-235,Story,12/4/2024,Ready for Dev,1/10/2025,Done,37,Done,Completed,,,
CAS-234,Story,12/5/2024,Ready for Dev,1/14/2025,Done,40,Done,Completed,,,
CAS-219,Story,11/25/2024,In Progress,11/27/2024,Done,2,Done,Completed,,,
