Ticket ID,Issue Type,First Start Date,Start Status,First Done Date,Done Status,Time to Completion (Days),Current Status,Completion Status,,,
CAS-4135,Task,02/13/2026 11:26,In Progress,,,20 days (In Progress),Review,In Progress - Not Done,,,
CAS-2079,Task,,,02/16/2026 18:01,Discarded,,Discarded,Done - No Start Record,,,
CAS-2077,Task,01/28/2026 12:18,In Progress,03/03/2026 12:54,Ready to Deploy,34,On Production,Completed,,,
CAS-1944,Task,01/08/2026 12:29,In Progress,,,56 days (In Progress),Review,In Progress - Not Done,,,
CAS-1774,Task,11/19/2025 11:05,In Progress,12/09/2025 15:36,Ready to Deploy,20,Done,Completed,,,"20,73,48,24,18,34,55,32,28,54,76,2546,48,49,46,29,47,37,40,84,56,9,8,37,94,38,28,29,28,30,67,41,50,34,44,36,25,22,22,55,0,15"
CAS-1564,Task,02/16/2026 09:55,In Progress,,,17 days (In Progress),In Progress,In Progress - Not Done,,,
CAS-1562,Task,,,02/25/2026 11:35,On Production,,Done,Done - No Start Record,,,
CAS-1428,Task,09/05/2025 11:54,In Progress,11/17/2025 11:45,Done,73,Done,Completed,,,
CAS-1287,Task,,,12/03/2025 16:20,On Production,,Done,Done - No Start Record,,,
CAS-1270,Task,08/05/2025 16:59,In Progress,09/22/2025 11:05,Ready to Deploy,48,Done,Completed,,,
CAS-917,Task,05/19/2025 14:56,In Progress,06/12/2025 14:40,Done,24,Done,Completed,,,
CAS-705,Story,04/18/2025 11:21,In Progress,10/15/2025 11:31,Done,180,Done,Completed,,,
CAS-607,Story,04/01/2025 16:08,In Progress,05/05/2025 11:36,Ready to Deploy,34,Done,Completed,,,
CAS-593,Task,,,05/16/2025 14:28,Discarded,,Discarded,Done - No Start Record,,,
CAS-579,Story,04/01/2025 18:10,In Progress,05/26/2025 11:27,Done,55,Done,Completed,,,
CAS-526,Story,02/20/2025 15:06,DEV In Progress,03/24/2025 10:56,READY TO DEPLOY,32,Done,Completed,,,
CAS-366,Story,,,11/07/2025 11:10,Discarded,,Discarded,Done - No Start Record,,,
CAS-364,Story,05/07/2025 11:46,In Progress,06/04/2025 13:22,Ready to Deploy,28,Done,Completed,,,
CAS-363,Story,05/14/2025 14:30,In Progress,07/07/2025 16:37,Ready to Deploy,54,Done,Completed,,,
CAS-362,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-361,Story,,,10/10/2025 16:27,Discarded,,Discarded,Done - No Start Record,,,
CAS-360,Story,,,09/05/2025 11:06,Discarded,,Discarded,Done - No Start Record,,,
CAS-359,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-358,Story,07/30/2025 15:14,In Progress,10/14/2025 15:02,Ready to Deploy,76,Done,Completed,,,
CAS-357,Story,,,09/11/2025 14:36,Discarded,,Discarded,Done - No Start Record,,,
CAS-354,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-353,Story,05/02/2025 09:07,In Progress,05/27/2025 15:41,Ready to Deploy,25,Done,Completed,,,
CAS-341,Story,,,02/16/2026 13:14,Discarded,,Discarded,Done - No Start Record,,,
CAS-340,Story,,,11/04/2025 13:19,Discarded,,Discarded,Done - No Start Record,,,
CAS-339,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-337,Story,02/06/2025 14:57,DEV In Progress,03/24/2025 11:08,READY TO DEPLOY,46,Done,Completed,,,
CAS-336,Story,,,11/04/2025 13:19,Discarded,,Discarded,Done - No Start Record,,,
